2016-07-08 08:49:26, IIS重启
2016-07-08 08:56:10, 运行时间【2016/7/8 8:56:10】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:15, 运行时间【2016/7/8 8:56:15】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:20, 运行时间【2016/7/8 8:56:20】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:25, 运行时间【2016/7/8 8:56:25】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:30, 运行时间【2016/7/8 8:56:30】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:35, 运行时间【2016/7/8 8:56:35】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:40, 运行时间【2016/7/8 8:56:40】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:47, IIS重启
2016-07-08 08:56:47, ShopQuartz job【fistJob】重启
2016-07-08 08:56:50, 运行时间【2016/7/8 8:56:50】,耗时【14ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:55, 运行时间【2016/7/8 8:56:55】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:00, 运行时间【2016/7/8 8:57:00】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:05, 运行时间【2016/7/8 8:57:05】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:10, 运行时间【2016/7/8 8:57:10】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:15, 运行时间【2016/7/8 8:57:15】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:20, 运行时间【2016/7/8 8:57:20】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:25, 运行时间【2016/7/8 8:57:25】,耗时【8ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:30, 运行时间【2016/7/8 8:57:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:35, 运行时间【2016/7/8 8:57:35】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:40, 运行时间【2016/7/8 8:57:40】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:45, 运行时间【2016/7/8 8:57:45】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:50, 运行时间【2016/7/8 8:57:50】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:57:55, 运行时间【2016/7/8 8:57:55】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:00, 运行时间【2016/7/8 8:58:00】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:05, 运行时间【2016/7/8 8:58:05】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:10, 运行时间【2016/7/8 8:58:10】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:15, 运行时间【2016/7/8 8:58:15】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:20, 运行时间【2016/7/8 8:58:20】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:25, 运行时间【2016/7/8 8:58:25】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:30, 运行时间【2016/7/8 8:58:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:35, 运行时间【2016/7/8 8:58:35】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:40, 运行时间【2016/7/8 8:58:40】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:45, 运行时间【2016/7/8 8:58:45】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:50, 运行时间【2016/7/8 8:58:50】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:58:55, 运行时间【2016/7/8 8:58:55】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:00, 运行时间【2016/7/8 8:59:00】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:05, 运行时间【2016/7/8 8:59:05】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:10, 运行时间【2016/7/8 8:59:10】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:15, 运行时间【2016/7/8 8:59:15】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:20, 运行时间【2016/7/8 8:59:20】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:25, 运行时间【2016/7/8 8:59:25】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:30, 运行时间【2016/7/8 8:59:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:35, 运行时间【2016/7/8 8:59:35】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:40, 运行时间【2016/7/8 8:59:40】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:44, ShopQuartz job【fistJob】启动
2016-07-08 08:59:45, 运行时间【2016/7/8 8:59:45】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:50, 运行时间【2016/7/8 8:59:50】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:59:55, 运行时间【2016/7/8 8:59:55】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:00, 运行时间【2016/7/8 9:00:00】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:05, 运行时间【2016/7/8 9:00:05】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:10, 运行时间【2016/7/8 9:00:10】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:15, 运行时间【2016/7/8 9:00:15】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:20, 运行时间【2016/7/8 9:00:20】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:25, 运行时间【2016/7/8 9:00:25】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:30, 运行时间【2016/7/8 9:00:30】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:35, 运行时间【2016/7/8 9:00:35】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:40, 运行时间【2016/7/8 9:00:40】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:45, 运行时间【2016/7/8 9:00:45】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:50, 运行时间【2016/7/8 9:00:50】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:00:55, 运行时间【2016/7/8 9:00:55】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:00, 运行时间【2016/7/8 9:01:00】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:05, 运行时间【2016/7/8 9:01:05】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:10, 运行时间【2016/7/8 9:01:10】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:15, 运行时间【2016/7/8 9:01:15】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:20, 运行时间【2016/7/8 9:01:20】,耗时【12ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:25, 运行时间【2016/7/8 9:01:25】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:30, 运行时间【2016/7/8 9:01:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:35, 运行时间【2016/7/8 9:01:35】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:40, 运行时间【2016/7/8 9:01:40】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:45, 运行时间【2016/7/8 9:01:45】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:50, 运行时间【2016/7/8 9:01:50】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:01:55, 运行时间【2016/7/8 9:01:55】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:00, 运行时间【2016/7/8 9:02:00】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:05, 运行时间【2016/7/8 9:02:05】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:10, 运行时间【2016/7/8 9:02:10】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:15, 运行时间【2016/7/8 9:02:15】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:20, 运行时间【2016/7/8 9:02:20】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:25, 运行时间【2016/7/8 9:02:25】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:30, 运行时间【2016/7/8 9:02:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:35, 运行时间【2016/7/8 9:02:35】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:40, 运行时间【2016/7/8 9:02:40】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:45, 运行时间【2016/7/8 9:02:45】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:50, 运行时间【2016/7/8 9:02:50】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:02:55, 运行时间【2016/7/8 9:02:55】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:00, 运行时间【2016/7/8 9:03:00】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:05, 运行时间【2016/7/8 9:03:05】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:10, 运行时间【2016/7/8 9:03:10】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:15, 运行时间【2016/7/8 9:03:15】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:20, 运行时间【2016/7/8 9:03:20】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:25, 运行时间【2016/7/8 9:03:25】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:30, 运行时间【2016/7/8 9:03:30】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:35, 运行时间【2016/7/8 9:03:35】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:40, 运行时间【2016/7/8 9:03:40】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:45, 运行时间【2016/7/8 9:03:45】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:50, 运行时间【2016/7/8 9:03:50】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:03:55, 运行时间【2016/7/8 9:03:55】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:00, 运行时间【2016/7/8 9:04:00】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:05, 运行时间【2016/7/8 9:04:05】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:10, 运行时间【2016/7/8 9:04:10】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:15, 运行时间【2016/7/8 9:04:15】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:20, 运行时间【2016/7/8 9:04:20】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:25, 运行时间【2016/7/8 9:04:25】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:30, 运行时间【2016/7/8 9:04:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:35, 运行时间【2016/7/8 9:04:35】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:40, 运行时间【2016/7/8 9:04:40】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:45, 运行时间【2016/7/8 9:04:45】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:50, 运行时间【2016/7/8 9:04:50】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:55, 运行时间【2016/7/8 9:04:55】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:04:59, ShopQuartz job【fistJob】启动
2016-07-08 09:05:00, 运行时间【2016/7/8 9:05:00】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:05, 运行时间【2016/7/8 9:05:05】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:10, 运行时间【2016/7/8 9:05:10】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:15, 运行时间【2016/7/8 9:05:15】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:20, 运行时间【2016/7/8 9:05:20】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:25, 运行时间【2016/7/8 9:05:25】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:30, 运行时间【2016/7/8 9:05:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:35, 运行时间【2016/7/8 9:05:35】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:05:40, 运行时间【2016/7/8 9:05:40】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:06:54, IIS重启
2016-07-08 09:06:55, ShopQuartz job【fistJob】重启
2016-07-08 09:06:55, 运行时间【2016/7/8 9:06:55】,耗时【137ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:00, 运行时间【2016/7/8 9:07:00】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:05, 运行时间【2016/7/8 9:07:05】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:10, 运行时间【2016/7/8 9:07:10】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:15, 运行时间【2016/7/8 9:07:15】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:20, 运行时间【2016/7/8 9:07:20】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:25, 运行时间【2016/7/8 9:07:25】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:30, 运行时间【2016/7/8 9:07:30】,耗时【357ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:35, 运行时间【2016/7/8 9:07:35】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:40, 运行时间【2016/7/8 9:07:40】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:47, 运行时间【2016/7/8 9:07:47】,耗时【19ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:50, 运行时间【2016/7/8 9:07:50】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:07:59, 运行时间【2016/7/8 9:07:57】,耗时【573ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:08:01, 运行时间【2016/7/8 9:08:01】,耗时【1164ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:08:09, 运行时间【2016/7/8 9:08:09】,耗时【27ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:08:11, 运行时间【2016/7/8 9:08:10】,耗时【471ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:08:50, 运行时间【2016/7/8 9:08:50】,耗时【459ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:08:50, 运行时间【2016/7/8 9:08:50】,耗时【37ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:08:50, ShopQuartz job【fistJob】停止
2016-07-08 09:10:26, IIS重启
2016-07-08 09:10:27, ShopQuartz job【fistJob】重启
2016-07-08 09:10:30, 运行时间【2016/7/8 9:10:30】,耗时【22ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:10:35, 运行时间【2016/7/8 9:10:35】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:10:40, 运行时间【2016/7/8 9:10:40】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:10:45, 运行时间【2016/7/8 9:10:45】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:10:46, ShopQuartz job【fistJob】停止
2016-07-08 09:11:02, 运行时间【2016/7/8 9:11:02】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:11:02, ShopQuartz job【fistJob】启动
2016-07-08 09:11:05, 运行时间【2016/7/8 9:11:05】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:11:10, 运行时间【2016/7/8 9:11:10】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:11:15, 运行时间【2016/7/8 9:11:15】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:11:20, 运行时间【2016/7/8 9:11:20】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:11:24, ShopQuartz job【fistJob】停止
2016-07-08 09:11:56, 运行时间【2016/7/8 9:11:56】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:11:56, ShopQuartz job【fistJob】启动
2016-07-08 09:12:00, 运行时间【2016/7/8 9:12:00】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:05, 运行时间【2016/7/8 9:12:05】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:10, 运行时间【2016/7/8 9:12:10】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:15, 运行时间【2016/7/8 9:12:15】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:20, 运行时间【2016/7/8 9:12:20】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
